sector_title,ephi_rate
Accommodation and Food Services,0.2386066447047517
Administrative and Support and Waste Management and Remediation Services,0.3912952273353141
"Agriculture, Forestry, Fishing and Hunting",0.2937229206197261
"Arts, Entertainment, and Recreation",0.37419812256117574
Construction,0.4446741182087822
Educational Services,0.6160511275523197
Finance and Insurance,0.7049956246436884
Health Care and Social Assistance,0.5679057545707262
Information,0.6186900742843952
Management of Companies and Enterprises,0.636180465658008
Manufacturing,0.6932410668857101
Mining,0.7465520503295862
Other Services (except Public Administration),0.33349986220266675
"Professional, Scientific, and Technical Services",0.6100340645604836
Public Administration,0.7042829524227797
Real Estate and Rental and Leasing,0.46517568044197705
Retail Trade,0.4078538065866721
Transportation and Warehousing,0.5847398217084766
Utilities,0.7710642208894012
Wholesale Trade,0.614696954510362
