state_name,ic_2020w11_total
Alabama,9490
Alaska,8225
Arizona,29268
Arkansas,8958
California,186809
Colorado,19429
Connecticut,25098
Delaware,10720
District of Columbia,13473
Florida,74021
Georgia,11746
Hawaii,8904
Idaho,13314
Illinois,114663
Indiana,61635
Iowa,41890
Kansas,23687
Kentucky,48847
Louisiana,72620
Maine,21197
Maryland,41882
Massachusetts,147995
Michigan,129298
Minnesota,116438
Mississippi,6723
Missouri,40508
Montana,14704
Nebraska,15668
Nevada,93036
New Hampshire,21878
New Jersey,155454
New Mexico,17187
New York,80334
North Carolina,93587
North Dakota,5968
Ohio,187784
Oklahoma,17720
Oregon,22824
Pennsylvania,378908
Puerto Rico,1471
Rhode Island,35436
South Carolina,31064
South Dakota,1703
Tennessee,39096
Texas,155657
Utah,1314
Vermont,3667
U.S. Virgin Islands,58
Virginia,46885
Washington,133478
West Virginia,3435
Wisconsin,50957
Wyoming,2339
